community,area_num,mean_radiance,sum_radiance,min_radiance,max_radiance,std_radiance,ACS Year,"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $125,000","$125,000 +",Male 0 to 17,Male 18 to 24,Male 25 to 34,Male 35 to 49,Male 50 to 64,Male 65+,Female 0 to 17,Female 18 to 24,Female 25 to 34,Female 35 to 49,Female 50 to 64,Female 65 +,Total Population,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Pacific Islander,Other Race,Multiracial,White Not Hispanic or Latino,Hispanic or Latino,Record ID,complaint_count
EAST SIDE,52.0,47.489788,2279.5098,9.0152445,68.92918,13.654612,2023,712,1248,1214,1450,988,2988,1376,1539,2518,2232,1010,3668,1311,1359,2324,1833,1473,23629,10892,365,597,146,0,7703,3927,2651,20479,2023_EAST SIDE,4790
WEST PULLMAN,53.0,52.182236,3183.1165,30.432117,89.69024,11.350486,2023,1380,1196,850,1273,1158,3160,1306,1515,1883,2296,1462,2657,1255,1558,2957,2373,2739,25159,908,22426,0,0,0,790,1035,289,1856,2023_WEST PULLMAN,7472
RIVERDALE,54.0,35.208042,2112.4824,10.820933,63.881603,14.039763,2023,965,494,195,164,47,1270,303,508,256,321,137,1815,626,908,768,538,290,7740,181,7365,17,0,0,32,145,18,252,2023_RIVERDALE,861
HEGEWISCH,55.0,37.405006,3366.4504,8.778638,102.73574,22.146309,2023,213,309,462,560,592,1099,504,550,700,1155,623,898,286,671,611,890,909,8895,4768,1226,10,59,0,2015,818,3236,4331,2023_HEGEWISCH,2181
GARFIELD RIDGE,56.0,93.00522,5766.3237,47.199112,273.29346,35.379723,2023,421,1324,1220,2378,3565,4492,1324,2255,3930,3987,2545,3856,978,2459,3515,3464,3459,36265,21939,1183,502,595,40,6073,5932,13879,20235,2023_GARFIELD RIDGE,4901
ARCHER HEIGHTS,57.0,116.393,3957.3618,85.93888,200.51077,28.813992,2023,223,752,441,795,739,1927,732,1102,1240,1417,1035,1502,899,978,1167,854,1021,13875,6232,10,108,679,0,3705,3142,2043,11097,2023_ARCHER HEIGHTS,1041
BRIGHTON PARK,58.0,116.08301,4991.5693,73.52103,233.0505,41.868546,2023,1685,2564,1889,2138,1531,5354,2207,4308,3517,4085,2317,5398,2564,3232,3802,3452,2125,42360,14018,937,850,4391,128,14067,7969,3193,33785,2023_BRIGHTON PARK,3255
MCKINLEY PARK,59.0,92.4777,1942.0316,67.36884,127.52645,14.267833,2023,320,781,699,779,1039,1435,762,1301,1596,1828,740,1567,661,1141,1474,1819,1077,15400,5199,339,256,4282,0,3700,1625,2204,8474,2023_MCKINLEY PARK,1795
BRIDGEPORT,60.0,96.370514,3372.968,75.525826,146.17607,13.415811,2023,1123,1450,1043,1634,2572,3048,1222,3580,3650,2982,2560,2606,1231,3327,3241,2969,2594,33012,13410,991,152,13234,0,2751,2475,11334,6879,2023_BRIDGEPORT,2390
NEW CITY,61.0,79.13201,6409.693,51.524292,120.71058,16.432142,2023,2266,2142,1432,1622,1440,5713,2336,2272,4591,3231,2477,5182,2083,3095,4415,2873,2576,40843,12557,8446,524,991,29,13273,5024,4036,27311,2023_NEW CITY,5816
